area_util,banheiros,suites,quartos,vagas_garagem,preco_venda,bairro,tipo_imovel,tipo_imovel_recategorized
1,129.0,2.0,1.0,3.0,2.0,336000,Vila Santa Teresa (Zona Sul),Casa,Casa
3,80.0,2.0,1.0,3.0,2.0,739643,Vila Olímpia,Apartamento,Apartamento
6,94.0,1.0,0.0,3.0,2.0,630700,Pinheiros,Apartamento,Apartamento
7,110.0,1.0,1.0,3.0,2.0,385000,Vila Santa Clara,Condomínio,Outro
12,32.0,1.0,0.0,1.0,1.0,118999,Santana,Flat,Apartamento
13,69.0,2.0,0.0,2.0,1.0,332500,Vila Moinho Velho,Apartamento,Apartamento
14,275.0,5.0,2.0,4.0,6.0,2590000,Cidade Mãe do Céu,Cobertura,Apartamento
15,50.0,1.0,0.0,2.0,1.0,193200,Sacomã,Apartamento,Apartamento
16,64.0,2.0,1.0,2.0,2.0,350000,Bosque da Saúde,Apartamento,Apartamento
17,55.0,1.0,0.0,2.0,1.0,252629,Vila Gomes,Apartamento,Apartamento
21,86.0,2.0,1.0,3.0,1.0,406000,Jardim Marajoara,Apartamento,Apartamento
24,50.0,1.0,0.0,2.0,1.0,157500,Jardim Umarizal,Apartamento,Apartamento
25,44.0,1.0,0.0,1.0,1.0,193900,Vila Dom Pedro I,Apartamento,Apartamento
26,140.0,3.0,1.0,3.0,4.0,385000,Jardim Monte Azul,Casa de dois andares,Casa
28,45.0,1.0,0.0,2.0,1.0,175000,Jardim Nove de Julho,Apartamento,Apartamento
30,68.0,2.0,1.0,3.0,1.0,385000,Móoca,Apartamento,Apartamento
31,78.0,1.0,0.0,3.0,1.0,258299,Jardim Japão,Apartamento,Apartamento
32,50.0,1.0,0.0,2.0,1.0,139930,Jardim Guarujá,Prédio Residencial,Apartamento
34,70.0,1.0,0.0,2.0,1.0,161000,Vila Alpina,Apartamento,Apartamento
37,80.0,1.0,0.0,2.0,2.0,258999,Jardim Iracema,Casa,Casa
38,60.0,1.0,0.0,3.0,1.0,171500,Vila Regina,Apartamento,Apartamento
41,123.0,3.0,1.0,3.0,2.0,742000,Campo Belo,Apartamento,Apartamento
42,31.0,1.0,1.0,1.0,1.0,339500,Brooklin,Flat,Apartamento
43,129.0,3.0,1.0,3.0,1.0,441000,Vila Sofia,Apartamento,Apartamento
45,110.0,3.0,1.0,3.0,2.0,770000,Ipiranga,Apartamento,Apartamento
49,43.0,1.0,0.0,2.0,1.0,147000,Cidade Satélite Santa Bárbara,Apartamento,Apartamento
51,65.0,1.0,0.0,2.0,2.0,266000,Jardim Sao Paulo,Apartamento,Apartamento
58,63.0,1.0,1.0,2.0,2.0,290500,Vila Nivi,Apartamento,Apartamento
59,41.0,1.0,0.0,1.0,1.0,326200,Brooklin,Apartamento,Apartamento
62,57.0,1.0,0.0,2.0,1.0,147000,Jardim Macedônia,Apartamento,Apartamento
65,147.0,2.0,1.0,3.0,2.0,385000,Jardim Catarina,Casa de dois andares,Casa
66,32.0,1.0,1.0,1.0,1.0,224000,Moema,Flat,Apartamento
68,70.0,2.0,1.0,2.0,1.0,409500,Jardim Leonor Mendes de Barros,Apartamento,Apartamento
69,65.0,2.0,1.0,3.0,1.0,287000,Tucuruvi,Apartamento,Apartamento
70,60.0,1.0,0.0,2.0,1.0,199500,Jardim Taquaral,Apartamento,Apartamento
71,49.0,1.0,0.0,2.0,1.0,178500,Vila Liviero,Apartamento,Apartamento
72,48.0,1.0,0.0,2.0,1.0,136500,Jardim Dom José,Apartamento,Apartamento
74,56.0,1.0,0.0,2.0,1.0,210700,Vila Dom Pedro I,Apartamento,Apartamento
76,123.0,3.0,1.0,3.0,2.0,735000,Perdizes,Apartamento,Apartamento
77,110.0,2.0,1.0,3.0,2.0,535500,Jardim Umuarama,Casa,Casa
80,61.0,2.0,0.0,3.0,1.0,196000,Vila Mendes,Apartamento,Apartamento
81,49.0,1.0,0.0,2.0,1.0,206500,Jardim Sao Paulo,Apartamento,Apartamento
83,27.0,1.0,1.0,1.0,1.0,140000,Chácara Santo Antônio,Flat,Apartamento
84,81.0,2.0,1.0,3.0,2.0,529200,Saúde,Apartamento,Apartamento
86,50.0,1.0,0.0,1.0,1.0,373800,Campo Belo,Apartamento,Apartamento
87,54.0,1.0,0.0,2.0,1.0,237999,Jardim Dom Bosco,Apartamento,Apartamento
88,56.0,1.0,0.0,2.0,1.0,152523,Jardim Casablanca,Apartamento,Apartamento
90,62.0,1.0,1.0,1.0,1.0,334880,Alto da Boa Vista,Apartamento,Apartamento
92,69.0,2.0,1.0,3.0,1.0,336000,Vila Vera,Apartamento,Apartamento
93,60.0,3.0,2.0,2.0,2.0,244999,Tucuruvi,Condomínio,Outro
94,50.0,1.0,0.0,2.0,1.0,182000,Vila Emir,Apartamento,Apartamento
99,50.0,1.0,0.0,2.0,1.0,175000,Jardim Germânia,Apartamento,Apartamento
102,44.0,1.0,1.0,1.0,1.0,419300,Brooklin,Apartamento,Apartamento
105,115.0,2.0,0.0,2.0,2.0,413000,Vila Maria Alta,Casa,Casa
106,120.0,2.0,1.0,3.0,1.0,454300,Mooca,Apartamento,Apartamento
107,115.0,1.0,0.0,2.0,3.0,301000,Jardim Santa Cruz,Casa,Casa
111,73.0,2.0,0.0,3.0,1.0,346500,Vila Sofia,Apartamento,Apartamento
112,74.0,2.0,0.0,2.0,2.0,532000,Vila Ipojuca,Apartamento,Apartamento
114,250.0,4.0,1.0,3.0,2.0,525000,Jardim São Paulo,Casa de dois andares,Casa
116,86.0,3.0,2.0,2.0,2.0,958999,Vila Mariana,Apartamento,Apartamento
119,75.0,2.0,1.0,2.0,1.0,432600,Vila Leopoldina,Apartamento,Apartamento
